id	source_file	target_entity	disposition	provenance
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=40x46mm_buckshot_m118	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=40x46mm_buckshot_m199	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=40x46mm_flechette_m118	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=40x46mm_flechette_m199	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=40x46mm_slug_m118	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=40x46mm_slug_m199	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=bp_40x46mm_buckshot_m118	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=bp_40x46mm_buckshot_m199	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=bp_40x46mm_flechette_m118	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=bp_40x46mm_flechette_m199	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=bp_40x46mm_slug_m118	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_improvised	data/json/ascii_art/ammo/40x46mm.json	itype:id=bp_40x46mm_slug_m199	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_m1006	data/json/ascii_art/ammo/40x46mm.json	itype:id=40x46mm_m1006	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_m433	data/json/ascii_art/ammo/40x46mm.json	itype:id=40x46mm_m433	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_m576	data/json/ascii_art/ammo/40x46mm.json	itype:id=40x46mm_m576	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x46mm_m651	data/json/ascii_art/ammo/40x46mm.json	itype:id=40x46mm_m651	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x53mm_improvised	data/json/ascii_art/ammo/40x53mm.json	itype:id=40x53mm_buckshot_m169	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x53mm_improvised	data/json/ascii_art/ammo/40x53mm.json	itype:id=40x53mm_flechette_m169	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x53mm_improvised	data/json/ascii_art/ammo/40x53mm.json	itype:id=40x53mm_slug_m169	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x53mm_improvised	data/json/ascii_art/ammo/40x53mm.json	itype:id=bp_40x53mm_flechette_m169	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x53mm_improvised	data/json/ascii_art/ammo/40x53mm.json	itype:id=bp_40x53mm_slug_m169	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
40x53mm_m1001	data/json/ascii_art/ammo/40x53mm.json	itype:id=40x53mm_m1001	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
